"BehaviorSpace results (NetLogo 5.3.1)"
"J:\Jan\LUC_3\model\scr\my_luc_model.nlogo"
"js_2016_sc11"
"03/10/2017 13:47:44:484 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","price-fluctuation-%","which-map","same-wealth","patch-age","land-use-change-decision","setlanduse","op-inefficiency-alpha","consumption_base","learning-spillover?","land-use-change?","price_scenario","initial-wealth","rb-inefficiency-alpha","heterogenous-hhs?","setup-hh-network","palm-oil-price","rubber-price","rb-price-mu","rb-inefficiency-lambda","min-wealth","op-inefficiency-lambda","consumption_frac_wealth","reproducable?","consumption-on?","consumption_frac_cash","time-horizon","rb-price-sd","discount-rate","log-normal-sd","hh-nw-param1","op-price-mu","export-view?","log-normal-mean","hh-nw-param2","write-hh-data-to-file?","op-price-sd","write-maps?","spillover-share","[step]","count turtles","pcount_op","pcount_rm","pcount_ra","pcount_fo","oilpalm_carbon","rubberagro_carbon","rubbermono_carbon","big_plantation_carbon","forest_carbon","oilpalm_total_carbon","rubber_total_carbon","area_under_agriculture","op_price","rubber_price","mean [h_wealth] of turtles","standard-deviation [h_wealth] of turtles","mean [h_consumption] of turtles","standard-deviation [h_consumption] of turtles","mean [h_fixconsumption] of turtles","standard-deviation [h_fixconsumption] of turtles","mean [h_varconsumption] of turtles","standard-deviation [h_varconsumption] of turtles","mean [h_netcashflow] of turtles","standard-deviation [h_netcashflow] of turtles","min_hh_consumption","max_hh_consumption","yield_op_all_hh_mean","yield_rm_all_hh_mean","yield_gap_op_all_hh_mean","yield_gap_rm_all_hh_mean"
"1","0","""hundred-farmers3""","10000","0","""only-one-field-per-year""","2","3.168","1000","false","true","""constant_prices""","""log-normal""","3.445","false","""hh-nw-kernel-distance""","90","1100","3","0.093","30","0.069","0.05","false","true","0.1","10","0","0.1","1","10","0","false","7","50","true","0","false","1","21","90","0","1","0","0","0","0","14800.772392955385","0","367110","0","14800.772392955385","391.5","90","1100","162714.44907871645","217901.48428650445","10338.349718878626","12423.385588839832","8920.335027547551","10611.313058062","1418.014691331077","1864.5982014248837","14146.098246644096","18672.468478888255","1749.5821094845064","104271.26408917023","0","17.3313","0","0"
"1","0","""hundred-farmers3""","10000","0","""only-one-field-per-year""","2","3.168","1000","false","true","""constant_prices""","""log-normal""","3.445","false","""hh-nw-kernel-distance""","90","1100","3","0.093","30","0.069","0.05","false","true","0.1","10","0","0.1","1","10","0","false","7","50","true","0","false","1","22","90","0","1","0","0","0","0","14318.564398833269","0","367110","0","14318.564398833269","391.5","90","1100","166944.2190899464","224071.33001571082","10570.419055003627","12794.560400066037","9135.722453935825","10895.074214325221","1434.6966010678009","1962.6000511261525","14300.189066233563","19661.135948885785","1678.453004010281","107823.26848921206","0","17.5108","0","0"
"1","0","""hundred-farmers3""","10000","0","""only-one-field-per-year""","2","3.168","1000","false","true","""constant_prices""","""log-normal""","3.445","false","""hh-nw-kernel-distance""","90","1100","3","0.093","30","0.069","0.05","false","true","0.1","10","0","0.1","1","10","0","false","7","50","true","0","false","1","23","90","0","1","0","0","0","0","14016.938724774243","0","367110","0","14016.938724774243","391.5","90","1100","171060.61597353328","228835.09794390513","10793.300164901731","12981.656950127363","9347.210954497317","11203.566500785544","1446.0892104044149","1857.7680863140197","14409.69704848859","18618.61093729074","1610.460353809767","109122.94197357827","0","17.6263","0","0"
"1","0","""hundred-farmers3""","10000","0","""only-one-field-per-year""","2","3.168","1000","false","true","""constant_prices""","""log-normal""","3.445","false","""hh-nw-kernel-distance""","90","1100","3","0.093","30","0.069","0.05","false","true","0.1","10","0","0.1","1","10","0","false","7","50","true","0","false","1","24","90","0","1","0","0","0","0","13586.243462347427","0","367110","0","13586.243462347427","391.5","90","1100","174869.69331644612","233280.10589814492","10986.27048107551","13213.48279926279","9553.030798676662","11441.754897195256","1433.2396823988422","1876.9990282830179","14295.347823988419","18799.02127313294","1748.7248772915082","111431.45730289002","0","17.4225","0","0"
"1","0","""hundred-farmers3""","10000","0","""only-one-field-per-year""","2","3.168","1000","false","true","""constant_prices""","""log-normal""","3.445","false","""hh-nw-kernel-distance""","90","1100","3","0.093","30","0.069","0.05","false","true","0.1","10","0","0.1","1","10","0","false","7","50","true","0","false","1","25","90","0","1","0","0","0","0","13588.960785621328","0","367110","0","13588.960785621328","391.5","90","1100","178616.45183022425","237551.1016029424","11190.153969728535","13442.540969421067","9743.484665822307","11664.005294907249","1446.669303906226","1899.4395617776827","14436.912483506703","19017.627851244557","1682.1636334269328","113429.34806910003","0","17.5308","0","0"
"1","0","""hundred-farmers3""","10000","0","""only-one-field-per-year""","2","3.168","1000","false","true","""constant_prices""","""log-normal""","3.445","false","""hh-nw-kernel-distance""","90","1100","3","0.093","30","0.069","0.05","false","true","0.1","10","0","0.1","1","10","0","false","7","50","true","0","false","1","26","90","0","1","0","0","0","0","13793.995164094078","0","367110","0","13793.995164094078","391.5","90","1100","182376.57427898017","241500.6658807595","11399.593583639655","13643.39454924466","9930.822591511214","11877.55508014712","1468.7709921284404","1880.793297172581","14659.716032395509","18830.288994444156","1618.7304517555863","115093.382248372","0","17.7377","0","0"
"1","0","""hundred-farmers3""","10000","0","""only-one-field-per-year""","2","3.168","1000","false","true","""constant_prices""","""log-normal""","3.445","false","""hh-nw-kernel-distance""","90","1100","3","0.093","30","0.069","0.05","false","true","0.1","10","0","0.1","1","10","0","false","7","50","true","0","false","1","27","90","0","1","0","0","0","0","14368.17178106907","0","367110","0","14368.17178106907","391.5","90","1100","186073.27227224273","245459.07257880282","11601.865304873756","13862.767842976187","10118.828713949004","12075.033294037976","1483.03659092475","1893.5593100732515","14798.563298136378","18961.06465182095","1558.2589291678069","116682.10998020612","0","17.8565","0","0"
"1","0","""hundred-farmers3""","10000","0","""only-one-field-per-year""","2","3.168","1000","false","true","""constant_prices""","""log-normal""","3.445","false","""hh-nw-kernel-distance""","90","1100","3","0.093","30","0.069","0.05","false","true","0.1","10","0","0.1","1","10","0","false","7","50","true","0","false","1","28","90","0","1","0","0","0","0","14458.879148039323","0","367110","0","14458.879148039323","391.5","90","1100","189956.5115865685","248918.0119740011","11829.272179679296","14027.929787102888","10303.66361361214","12272.953628940139","1525.6085660671592","1856.7639769872692","15212.511494004928","18604.79343093923","1579.3931994629563","117666.76325637451","0","18.3297","0","0"
"1","0","""hundred-farmers3""","10000","0","""only-one-field-per-year""","2","3.168","1000","false","true","""constant_prices""","""log-normal""","3.445","false","""hh-nw-kernel-distance""","90","1100","3","0.093","30","0.069","0.05","false","true","0.1","10","0","0.1","1","10","0","false","7","50","true","0","false","1","29","90","0","1","0","0","0","0","14830.125487183694","0","367110","0","14830.125487183694","391.5","90","1100","194089.17640263803","254169.5322118449","12072.176771409677","14418.90754817021","10497.825579328424","12445.900598700055","1574.3511920812537","2059.890816404789","15704.841587479208","20629.66233369719","1664.8189894898085","121116.17849145224","0","18.9012","0","0"
"1","0","""hundred-farmers3""","10000","0","""only-one-field-per-year""","2","3.168","1000","false","true","""constant_prices""","""log-normal""","3.445","false","""hh-nw-kernel-distance""","90","1100","3","0.093","30","0.069","0.05","false","true","0.1","10","0","0.1","1","10","0","false","7","50","true","0","false","1","30","90","0","1","0","0","0","0","15368.3215814862","0","367110","0","15368.3215814862","391.5","90","1100","198624.37163279275","259715.71059929172","12343.684541768693","14739.609277114587","10704.4588201319","12708.476610592244","1639.2257216367907","2076.0039215669535","16378.879771923457","20770.823794921664","1690.782312515318","123475.64900743155","0","19.6877","0","0"
